time,AT,BE,BG,CH,CZ,DE,EL,ES,FI,FR,HR,HU,IE,IT,LV,PT,RO,SE,SI,SK
78,0.186397619,0.171417698,0.152174886,0.12897851,0.084555594,0.403319675,0.096326375,0.332850149,0.691537213,0.220183885,0.183699336,0.179570037,0.96663219,0.336437821,0.063061313,0.706135949,0.178779839,0.707141031,0.209334938,0.199816186
79,0.182188528,0.18031914,0.150083254,0.1244245,0.081065749,0.398071273,0.10209614,1.0,0.692310391,0.227465032,0.184741224,0.246286478,0.966835512,0.36157263,0.062688217,0.824675305,0.165889625,0.707411105,0.21378945,0.221920402
80,0.189401339,0.163743042,0.147944769,0.120569965,0.086083254,0.411322541,0.142746305,0.809648946,0.693665291,0.218944532,0.185217807,0.247314323,0.966681275,0.365825121,0.063214116,0.708685134,0.16066389,0.707280593,0.288034269,0.190032388
81,0.194985941,0.173008293,0.143958373,0.124795563,0.094156687,0.398479111,0.479993767,0.73601795,0.693903082,0.221802743,0.201309097,0.175326842,0.966770309,0.359493564,0.0621808,0.623307408,0.160920244,0.706596919,0.28073672,0.161107499
82,0.197961572,0.186612847,0.143958373,0.13354756,0.096102673,0.404687271,0.762549188,1.0,0.694216817,0.231331865,0.240608624,0.183098598,0.969616268,0.358724474,0.063971945,0.720220796,0.162275662,0.70658023,0.268894233,0.128964837
83,0.195740181,0.200261441,0.143958373,0.130658699,0.084475391,0.413472658,0.771416445,1.0,0.696282344,0.21904821,0.331153458,0.201838836,0.967123449,0.360502906,0.066802807,0.737408731,0.164732659,0.707353191,0.2407198,0.121567062
84,0.194171791,0.215468215,0.143958373,0.12929522,0.077969856,0.434640843,0.783076653,1.0,0.698422341,0.248697931,0.397266464,0.184723222,0.968868262,0.360851433,0.062826448,0.704940633,0.164622955,0.708194907,0.210098119,0.122363994
85,0.197949213,0.232246561,0.143958373,0.125463882,0.075990449,0.440916855,0.808591613,1.0,0.698908763,0.259500653,0.593854604,0.165410658,0.969544283,0.359020468,0.060441885,0.799661832,0.165925739,0.707567763,0.210141496,0.112846762
86,0.203890445,0.226122387,0.143989902,0.126378669,0.07560062,0.433568322,0.766092831,1.0,0.697141167,0.258966933,0.725065632,0.167331086,0.968537603,0.352139125,0.061499803,0.903620787,0.167739301,0.707491633,0.212038768,0.10461283
87,0.195429381,0.369342015,0.149040835,0.119910235,0.07534988,0.412032974,0.984927029,1.0,0.695822829,0.244287318,0.727805024,0.165017959,0.973503727,0.315368409,0.059946395,0.817781179,0.169831047,0.708054121,0.211973843,0.111871509
88,0.192512312,0.171645726,0.149040835,0.108422435,0.075309078,0.396574217,0.913320834,1.0,0.695217806,0.231515792,0.688724524,0.158429999,0.973415144,0.271420154,0.061214465,0.737714245,0.173907321,0.708149135,0.211345817,0.119038511
89,0.192051445,0.148298455,0.152174886,0.102170503,0.076282058,0.386536623,1.0,1.0,0.694537158,0.22235513,0.653763683,0.162252576,0.971676586,0.244861127,0.062432427,0.49668175,0.187104015,0.708428758,0.210782788,0.11345983
90,0.189018315,0.150549059,0.149040835,0.099934265,0.079691636,0.380297886,1.0,1.0,0.69439571,0.235415648,0.600298396,0.164138984,0.971352499,0.254874779,0.061601572,0.40754784,0.201227911,0.709256661,0.209833535,0.106682927
91,0.187208303,0.172819353,0.147944769,0.099266214,0.078439076,0.368708019,1.0,0.708314481,0.694135171,0.242168252,0.348302717,0.250739492,0.985995578,0.229575306,0.060425904,0.364400341,0.209012488,0.709602527,0.208746843,0.109710988
92,0.184820808,0.169850094,0.147944769,0.099325271,0.079563671,0.37441197,1.0,0.545804373,0.694674924,0.243031973,0.296766119,0.241313785,0.986421104,0.22596463,0.059849962,0.311276102,0.207964787,0.710200747,0.208603688,0.105351313
93,0.183788789,0.166582872,0.143958373,0.103059299,0.083807186,0.381406144,1.0,0.411198028,0.693901983,0.259629482,0.272215001,0.161566674,0.981321799,0.231192245,0.059923809,0.28351399,0.203319867,0.710018278,0.208235005,0.100229451
94,0.18307362,0.20206197,0.150933397,0.107960349,0.08663043,0.378922074,1.0,0.219318771,0.695411611,0.252624932,0.221202104,0.161063775,0.978924192,0.216099188,0.060297807,0.232142767,0.192872955,0.709249628,0.208216795,0.103101909
95,0.182839066,0.193953685,0.1523581,0.112847333,0.087986803,0.374386064,1.0,0.181920496,0.696802424,0.244867401,0.189301126,0.167734459,0.975270682,0.218570041,0.061389855,0.214935316,0.187302068,0.707899531,0.208344756,0.101407178
96,0.184185995,0.183322748,0.143989902,0.110919575,0.085311318,0.376043183,1.0,0.233251005,0.695910367,0.237654461,0.193653242,0.162919291,0.975462916,0.22397526,0.065149761,0.213784015,0.177320447,0.707165384,0.208358278,0.103680171
97,0.186668205,0.180357997,0.188760221,0.112605041,0.080520941,0.373617297,1.0,0.257913929,0.699042881,0.233798212,0.19145049,0.165982397,0.977861323,0.256149082,0.071545764,0.250591849,0.171284619,0.706594777,0.20831911,0.111881672
98,0.188193391,0.168594087,0.253097937,0.112062994,0.077306337,0.368643544,0.948377832,0.18491195,0.700647809,0.228724681,0.210359799,0.18918356,0.974582514,0.284135405,0.073372658,0.220816958,0.173639133,0.706876936,0.208066076,0.119271873
99,0.189209581,0.159298836,0.155312159,0.107415167,0.075533885,0.36503272,0.650389984,0.153897183,0.701422983,0.222715559,0.212023305,0.181796688,0.971335743,0.268862687,0.071091735,0.212898878,0.170981839,0.707062362,0.208119563,0.108908744
100,0.193453282,0.152760948,0.149040835,0.09925793,0.075770381,0.365644625,0.440181569,0.145065788,0.703799458,0.205655312,0.186975484,0.171027822,0.969464597,0.241810793,0.072758783,0.226395648,0.172520412,0.707013319,0.208576201,0.101893639
101,0.191414566,0.166570185,0.149443447,0.097932336,0.076355378,0.369377589,0.289967505,0.146044058,0.702660783,0.209707783,0.193322314,0.169186708,0.969766196,0.232761527,0.067876592,0.232642897,0.17519001,0.707157871,0.210835041,0.100164876
102,0.193220357,0.153631478,0.143989902,0.097324659,0.07635875,0.371571466,0.265837523,0.143411013,0.701339918,0.209387475,0.201897983,0.172563825,0.971019216,0.235180746,0.06537757,0.254804409,0.180136523,0.707122165,0.220154434,0.096156309
103,0.196793778,0.158898825,0.143989902,0.111994872,0.076650284,0.376214225,0.603987573,0.161720227,0.702012619,0.231904061,0.187832069,0.171306263,0.966762721,0.25482814,0.066096624,0.288130549,0.191453139,0.707137208,0.207559356,0.097728448
104,0.193129638,0.15820301,0.143989902,0.111460106,0.076552664,0.376389718,0.609464657,0.156281867,0.701694161,0.256492776,0.215559012,0.169391384,0.966670187,0.269253175,0.067062692,0.33320436,0.202283304,0.70625527,0.217001076,0.094824136
